record_id,type,type_english
BAUA_S001,NA,NA
BAUA_S002,NA,NA
BAUA_S002,"Haushalt, und spazieren","Household, and walking"
BAUA_S002,Erdbeeren pflücken,Picking strawberries
BAUA_S002,Im See baden,Swimming in the lake
BAUA_S002,schwimmen,swimming
BAUA_S002,spazieren,walking
BAUA_S002,1010,NA
BAUA_S003,NA,NA
BAUA_S003,Gartenarbeiten und Kleidung in den Keller tragen,Garden work and carrying clothes to the basement
BAUA_S003,Sachen hoch und runter tragen,Carrying things up and down
BAUA_S003,homework out für den po,home workout for the butt
BAUA_S003,gelaufen I'm park,walked in the park
BAUA_S003,Spaziergang,Walk
BAUA_S004,NA,NA
BAUA_S004,Krafttraining,Strength training
BAUA_S004,Joggen,Jogging
BAUA_S004,Kraftsport im Fitnessstudio,Strength training in gym
BAUA_S004,Badminton,Badminton
BAUA_S004,"Spaziergang, Schlittschuhlaufen","walk, ice skating"
BAUA_S004,Radfahren auf der Straße,Cycling on the street
BAUA_S004,Kampfsport,Martial Arts
BAUA_S005,NA,NA
BAUA_S005,spaziergang nach der arbeit,walk after work
BAUA_S005,Arbeitsbezogenes laufen,Work-related walking
BAUA_S005,spazieren,walking
BAUA_S006,NA,NA
BAUA_S006,Radfahren,Cycling
BAUA_S006,Joggen,Jogging
BAUA_S006,Schwimmen im Hallenbad,Swimming in an indoor pool
BAUA_S007,NA,NA
BAUA_S007,Spaziergang in der Mittagspause,Walk during lunch break
BAUA_S007,Spaziergang,walk
BAUA_S008,NA,NA
BAUA_S008,spazieren,walking
BAUA_S008,spazieren mit dem Hund,walking the dog
BAUA_S008,spazieren mit den Hunden,walking the dogs
BAUA_S009,NA,NA
BAUA_S009,Rad,wheel
BAUA_S009,"Spaziergang, Radfahrer","walk, cyclist"
BAUA_S009,"Radfahrern, Joggen, Spazieren","Cycling, jogging, walking"
BAUA_S009,Spazieren und Treppenstufen,Walking and stairs
BAUA_S009,"Radfahrer, Spazierengehen, Treppensteigen","Cyclist, Walking, Climbing stairs"
BAUA_S009,"Laufen, Fussball","Running, Football"
BAUA_S009,"Fussball, Fahrrad, Spazieren, Treppen","Football, Bike, Walking, Stairs"
BAUA_S010,NA,NA
BAUA_S010,Gartenarbeit /,gardening
BAUA_S010,"radfahren, spazieren","cycling, walking"
BAUA_S010,Radfahren,Cycling
BAUA_S010,spazieren,to go for a walk
BAUA_S011,NA,NA
BAUA_S011,gassi gehen,dog walking
BAUA_S011,gassi gehen und spielen mit den Hunden,walking and playing with the dogs
BAUA_S012,NA,NA
BAUA_S012,Arbeit im Büro,Office work
BAUA_S012,"Arbeit, Erledigungen","Work, errands"
BAUA_S012,30,NA
BAUA_S012,spazieren,walking
BAUA_S013,NA,NA
BAUA_S013,Rehasport,rehabilitation sport
BAUA_S013,Spaziergang mit dem Hund,Walk with the dog
BAUA_S013,draußen mit dem Hund unterwegs.  Rehasport mit dem Ball zuhause,outside with the dog. rehabilitation exercise with the ball at home
BAUA_S013,Mit dem Hund unterwegs gewesen. Zuhause den Haushalt erledigt.,Went out with the dog. Did housework at home.
BAUA_S014,NA,NA
BAUA_S014,Radfahren zur Arbeit und nach Hause,Cycling to and from work
BAUA_S014,joggen,jogging
BAUA_S014,Joggen,Jogging
BAUA_S014,Spaziergang,walk
BAUA_S015,NA,NA
BAUA_S015,Spaziergang,walk
BAUA_S015,Spazieren und Golf,Walking and Golf
BAUA_S015,spaziergang,walk
BAUA_S015,Tanzen und spazieren,Dancing and walking
BAUA_S015,spazieren,walking
BAUA_S016,NA,NA
BAUA_S016,Joggen,Jogging
BAUA_S016,Kraftraining,Strength training
BAUA_S016,Joggen draußen,Jogging outdoors
BAUA_S016,Joggen kleine Runde,Jogging short loop
BAUA_S018,NA,NA
BAUA_S018,Schnelles spazieren,fast walking
BAUA_S019,NA,NA
BAUA_S020,NA,NA
BAUA_S021,NA,NA
BAUA_S022,NA,NA
BAUA_S022,Spazieren,Walking
BAUA_S022,Radfahren,Cycling
BAUA_S023,NA,NA
BAUA_S023,spazieren gehen,go for a walk
BAUA_S023,spazieren,walking
BAUA_S024,NA,NA
BAUA_S024,"Spaziergang, Kraftübungen","Walk, strength exercises"
BAUA_S024,"Kraftübungen, Rudern, Hulahoop","Strength exercises, rowing, hula hoop"
BAUA_S024,"Krafttraining, Rudern, Hulahoop","Strength training, rowing, hula hoop"
BAUA_S024,"Rudern, Hulahoop","Rowing, Hula hoop"
BAUA_S024,"Krafttraining, Rudern, Hulahopp","Strength training, rowing, hula hoop"
BAUA_S025,NA,NA
BAUA_S025,"Rad, niedriger Gang, schnelle Kadenz, konstant moderate Anstrengung","Bike, low gear, high cadence, consistently moderate effort"
BAUA_S025,Zu Fuß zu Arbeit und zurück,Walking to work and back
BAUA_S025,Rad zur Arbeit u. zurück,bike to work and back
BAUA_S025,Rad zur Arbeit,Bicycle to work
BAUA_S025,"Nicht direkt Sport, aber bei Familie gewesen, viel Bewegung, viel Aufregung.","Not directly sports, but was with family, lots of movement, lots of excitement."
